val_loss,val_accuracy,loss,accuracy, epoch
1.0040804719924927,0.807253360748291,1.335495093550001,0.5494514107704163,1
0.647881422440211,0.8601666688919067,0.8885325975077493,0.762094259262085,2
0.48663642605145774,0.8886866569519043,0.6803351153646197,0.8204857110977173,3
0.3916460613409678,0.9081266522407532,0.567927285517965,0.8549628853797913,4
0.32880353967348735,0.9214066863059998,0.4892601134947368,0.8773571252822876,5
0.28547284603118894,0.9298666715621948,0.4317437220471246,0.8943314552307129,6
0.2538501108686129,0.9364399909973145,0.3882820999622345,0.9060542583465576,7
0.23082454671462377,0.94159334897995,0.3564389393159321,0.9143171310424805,8
0.21275467336177825,0.9449999928474426,0.3293244799545833,0.9213228821754456,9
0.19870724817117055,0.9474999904632568,0.3087461905820029,0.9257714152336121,10
